[00:02:36] INFO: === ЗАПУСК МОДЕЛИРОВАНИЯ СМО M/M/3 ===
[00:02:36] INFO: t=17.56 | Заявка #78 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=17.59 | Заявка #82 поступила.
[00:02:36] INFO: t=17.59 | Заявка #82 направлена на Прибор #3.
[00:02:36] INFO: t=17.85 | Заявка #77 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=17.95 | Заявка #76 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=17.98 | Заявка #83 поступила.
[00:02:36] INFO: t=17.98 | Заявка #83 направлена на Прибор #1.
[00:02:36] INFO: t=18.03 | Заявка #83 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=18.04 | Заявка #84 поступила.
[00:02:36] INFO: t=18.04 | Заявка #84 направлена на Прибор #1.
[00:02:36] INFO: t=18.09 | Заявка #85 поступила.
[00:02:36] INFO: t=18.09 | Заявка #85 направлена на Прибор #2.
[00:02:36] INFO: t=18.18 | Заявка #85 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=18.63 | Заявка #86 поступила.
[00:02:36] INFO: t=18.63 | Заявка #86 направлена на Прибор #2.
[00:02:36] INFO: t=18.76 | Заявка #87 поступила.
[00:02:36] WARNING: t=18.76 | ОТКАЗ! Все приборы (3) заняты. Заявка #87 потеряна.
[00:02:36] INFO: t=18.77 | Заявка #84 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=19.09 | Заявка #88 поступила.
[00:02:36] INFO: t=19.09 | Заявка #88 направлена на Прибор #1.
[00:02:36] INFO: t=19.11 | Заявка #89 поступила.
[00:02:36] WARNING: t=19.11 | ОТКАЗ! Все приборы (3) заняты. Заявка #89 потеряна.
[00:02:36] INFO: t=19.16 | Заявка #82 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=19.20 | Заявка #86 завершила обслуживание на Приборе #2. Прибор свободен.
